Proba d'emission B-X
  vu      ju      vl      jl     Proba d'emission(s-1)

  0       0       0       1      0.420175D+07
  1       0       0       1      0.170235D+08
  2       0       0       1      0.392866D+08
  3       0       0       1      0.678932D+08
  0       0       1       1      0.332954D+08
  1       0       1       1      0.992664D+08
  2       0       1       1      0.165724D+09
  3       0       1       1      0.202073D+09
  0       0       2       1      0.120744D+09
  1       0       2       1      0.237638D+09
  2       0       2       1      0.242090D+09
  3       0       2       1      0.156287D+09
  0       0       3       1      0.266825D+09
  1       0       3       1      0.283380D+09
  2       0       3       1      0.109528D+09
  3       0       3       1      0.414356D+07
  0       0       4       1      0.400506D+09
  1       0       4       1      0.144070D+09
  2       0       4       1      0.675498D+06
  3       0       4       1      0.918769D+08
  0       0       5       1      0.429283D+09
  1       0       5       1      0.406482D+07
  2       0       5       1      0.128802D+09
  3       0       5       1      0.149538D+09
  0       0       6       1      0.334794D+09
  1       0       6       1      0.824300D+08
  2       0       6       1      0.189423D+09
  3       0       6       1      0.103930D+08
  0       0       7       1      0.189018D+09
  1       0       7       1      0.277379D+09
  2       0       7       1      0.372239D+08
  3       0       7       1      0.831213D+08
  0       0       8       1      0.748613D+08
  1       0       8       1      0.330783D+09
  2       0       8       1      0.432006D+08
  3       0       8       1      0.163850D+09
  0       0       9       1      0.193402D+08
  1       0       9       1      0.207800D+09
  2       0       9       1      0.258992D+09
  3       0       9       1      0.128749D+08
  0       0      10       1      0.276465D+07
  1       0      10       1      0.701760D+08
  2       0      10       1      0.300632D+09
  3       0      10       1      0.115729D+09
  0       0      11       1      0.124414D+06
  1       0      11       1      0.105543D+08
  2       0      11       1      0.133226D+09
  3       0      11       1      0.323971D+09
  0       0      12       1      0.457645D+04
  1       0      12       1      0.308857D+06
  2       0      12       1      0.183019D+08
  3       0      12       1      0.181364D+09
  0       0      13       1      0.114009D+05
  1       0      13       1      0.157910D+05
  2       0      13       1      0.524496D+05
  3       0      13       1      0.163008D+08
  0       0      14       1      0.591361D+02
  1       0      14       1      0.333850D+04
  2       0      14       1      0.973491D+05
  3       0      14       1      0.617061D+06
  0       0      15       1      0.198725D+04
  1       0      15       1      0.784751D+01
  2       0      15       1      0.287725D+04
  3       0      15       1      0.385723D+05
  0       0      16       1      0.714727D+03
  1       0      16       1      0.114544D+03
  2       0      16       1      0.534962D+02
  3       0      16       1      0.312118D+05
  0       0      17       1      0.258449D+02
  1       0      17       1      0.695163D+01
  2       0      17       1      0.825218D+00
  3       0      17       1      0.154138D+04
  4       0       0       1      0.978240D+08
  5       0       0       1      0.124314D+09
  6       0       0       1      0.144153D+09
  7       0       0       1      0.155950D+09
  4       0       1       1      0.198311D+09
  5       0       1       1      0.163282D+09
  6       0       1       1      0.114020D+09
  7       0       1       1      0.662310D+08
  4       0       2       1      0.597181D+08
  5       0       2       1      0.656900D+07
  6       0       2       1      0.426546D+07
  7       0       2       1      0.319038D+08
  4       0       3       1      0.260704D+08
  5       0       3       1      0.887313D+08
  6       0       3       1      0.115428D+09
  7       0       3       1      0.937097D+08
  4       0       4       1      0.141818D+09
  5       0       4       1      0.841546D+08
  6       0       4       1      0.156369D+08
  7       0       4       1      0.218438D+07
  4       0       5       1      0.283311D+08
  5       0       5       1      0.830200D+07
  6       0       5       1      0.693716D+08
  7       0       5       1      0.967908D+08
  4       0       6       1      0.540881D+08
  5       0       6       1      0.118790D+09
  6       0       6       1      0.619384D+08
  7       0       6       1      0.321552D+07
  4       0       7       1      0.128372D+09
  5       0       7       1      0.147345D+08
  6       0       7       1      0.226712D+08
  7       0       7       1      0.840318D+08
  4       0       8       1      0.198851D+07
