@3@CO@K@v@J@p
#2264         # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Quantum number
#J            # Quantum number
#p            # Quantum number
# n      g       E(K)        v    J    p
#---data--------------------------------
   1    3.0  93157.959373    0    1    1
   2    3.0  93157.988156    0    1    0
   3    5.0  93167.138770    0    2    0
   4    5.0  93167.181916    0    2    1
   5    7.0  93180.835909    0    3    0
   6    7.0  93180.907823    0    3    1
   7    9.0  93199.165902    0    4    0
   8    9.0  93199.295359    0    4    1
   9   11.0  93221.956097    0    5    0
  10   11.0  93222.157483    0    5    1
  11   13.0  93249.206490    0    6    0
  12   13.0  93249.623685    0    6    1
  13   15.0  93280.773206    0    7    0
  14   15.0  93281.578862    0    7    1
  15   17.0  93316.181448    0    8    0
  16   17.0  93318.037402    0    8    1
  17   19.0  93354.064378    0    9    0
  18   19.0  93358.812266    0    9    1
  19   21.0  93403.702022    0   10    1
  20   21.0  93412.795177    0   10    0
  21   23.0  93452.246263    0   11    1
  22   23.0  93461.152386    0   11    0
  23   25.0  93503.308355    0   12    1
  24   25.0  93515.250306    0   12    0
  25   27.0  93574.268835    0   13    0
  26   27.0  93583.059651    0   13    1
  27   29.0  93637.819502    0   14    0
  28   29.0  93644.552857    0   14    1
  29   31.0  93705.398734    0   15    0
  30   31.0  93711.973816    0   15    1
  31   33.0  93775.740410    0   16    0
  32   33.0  93784.703851    0   16    1
  33   35.0  93862.325719    0   17    1
  34   35.0  93866.124239    0   17    0
  35   37.0  93944.753093    0   18    1
  36   37.0  93946.436620    0   18    0
  37   39.0  94031.770156    0   19    1
  38   39.0  94032.705529    0   19    0
  39   41.0  94123.477621    0   20    1
  40   41.0  94124.053310    0   20    0
  41   43.0  94219.789163    0   21    1
  42   43.0  94220.163433    0   21    0
  43   45.0  94320.647229    0   22    1
  44   45.0  94320.906407    0   22    0
  45   47.0  94426.066208    0   23    1
  46   47.0  94426.224682    0   23    0
  47   49.0  94535.988548    0   24    1
  48   49.0  94536.161421    0   24    0
  49   51.0  94650.371086    0   25    1
  50   51.0  94650.529582    0   25    0
  51   53.0  94769.055555    0   26    1
  52   53.0  94769.185287    0   26    0
  53   55.0  94888.819097    0   27    1
  54   55.0  94888.862513    0   27    0
  55   57.0  95021.560660    0   28    0
  56   57.0  95064.637377    0   28    1
  57   59.0  95152.934842    0   29    1
  58   59.0  95153.007058    0   29    0
  59   61.0  95286.927852    0   30    1
  60   61.0  95287.043242    0   30    0
  61    3.0  95299.176028    1    1    0
  62    3.0  95299.190408    1    1    1
  63    5.0  95307.995706    1    2    1
  64    5.0  95308.010111    1    2    0
  65    7.0  95321.232428    1    3    1
  66    7.0  95321.232454    1    3    0
  67    9.0  95338.958128    1    4    1
  68    9.0  95338.958161    1    4    0
  69   11.0  95361.187189    1    5    1
  70   11.0  95361.187232    1    5    0
  71   13.0  95387.977166    1    6    1
  72   13.0  95387.977216    1    6    0
