;1  The first column is the upper electronic state 
;2  (2=Lyman (B-X), 3= Werner (C-X))
;3  nup is the upper vibrational level 
;4  npp is the lower vibrational level 
;5  Jup is the upper rotational level 
;6  Jpp is the lower rotational level 
;7  
;8
;9   nup  npp Jup Jpp      wave         f           gu     gamma         label  rank 
1  2   0   0   1   0   1108.13   0.00165685    1   1.85660e+09   L0-0R(0)   0
2  2   0   0   2   1   1108.63   0.00107485    9   1.85630e+09   L0-0R(1)   1
3  2   0   0   0   1   1110.06   0.000572683   9   1.88090e+09   L0-0P(1)   2
4  2   0   0   3   2   1110.12   0.000931172   5   1.85130e+09   L0-0R(2)   3
5  2   0   0   1   2   1112.50   0.000690244   5   1.85660e+09   L0-0P(2)   4
6  2   0   0   4   3   1112.58   0.000835092   21   1.84180e+09   L0-0R(3)   5
7  2   0   0   2   3   1115.90   0.000733407   21   1.85630e+09   L0-0P(3)   6
8  2   0   0   5   4   1116.01   0.000775934   9   1.81820e+09   L0-0R(4)   7
9  2   0   0   3   4   1120.25   0.000760936   9   1.85130e+09   L0-0P(4)   8
10 2   0   0   6   5   1120.40   0.000711716   33   1.82420e+09   L0-0R(5)   9
11 2   0   0   4   5   1125.54   0.000761425   33   1.84180e+09   L0-0P(5)   10
12 2   0   0   7   6   1125.72   0.000657642   13   1.80500e+09   L0-0R(6)   11
13 2   0   0   5   6   1131.75   0.000747425   13   1.81820e+09   L0-0P(6)   12
14 2   0   0   8   7   1131.97   0.000609600   45   1.76470e+09   L0-0R(7)   13
15 2   0   0   6   7   1138.87   0.000724650   45   1.82420e+09   L0-0P(7)   14
16 2   0   0   9   8   1139.12   0.00054       17   1.8e+09       L0-0R(8)   15
17 2   0   0   7   8   1146.86   0.00071       17   1.8e+09       L0-0P(8)   16
18 2   1   0   1   0   1092.20   0.00590171    1   1.74950e+09   L1-0R(0)   0
19 2   1   0   2   1   1092.73   0.00387862    9   1.74140e+09   L1-0R(1)   1
20 2   1   0   0   1   1094.05   0.00197391    9   1.74170e+09   L1-0P(1)   2
21 2   1   0   3   2   1094.24   0.00326705    5   1.73270e+09   L1-0R(2)   3
22 2   1   0   1   2   1096.44   0.00237905    5   1.74950e+09   L1-0P(2)   4
23 2   1   0   4   3   1096.73   0.00301402    21   1.70900e+09   L1-0R(3)   5
24 2   1   0   2   3   1099.79   0.00246096    21   1.74140e+09   L1-0P(3)   6
25 2   1   0   5   4   1100.16   0.00288313    9   1.70390e+09   L1-0R(4)   7
26 2   1   0   3   4   1104.08   0.00255852    9   1.73270e+09   L1-0P(4)   8
27 2   1   0   6   5   1104.55   0.00259395    33   1.69470e+09   L1-0R(5)   9
28 2   1   0   4   5   1109.31   0.00256604    33   1.70900e+09   L1-0P(5)   10
29 2   1   0   7   6   1109.86   0.00255697    13   1.68640e+09   L1-0R(6)   11
30 2   1   0   5   6   1115.45   0.00252539    13   1.70390e+09   L1-0P(6)   12
31 2   1   0   8   7   1116.08   0.00232809    45   1.65430e+09   L1-0R(7)   13
32 2   1   0   6   7   1122.49   0.00261937    45   1.69470e+09   L1-0P(7)   14
33 2   1   0   9   8   1123.19   0.0022        17   1.7e+09       L1-0R(8)   15
34 2   1   0   7   8   1130.40   0.0025        17   1.7e+09       L1-0P(8)   16
35 2   2   0   1   0   1077.14   0.01148020    1   1.62790e+09   L2-0R(0)   0
36 2   2   0   2   1   1077.70   0.00783552    9   1.62540e+09   L2-0R(1)   1
37 2   2   0   0   1   1078.93   0.00389762    9   1.62790e+09   L2-0P(1)   2
38 2   2   0   3   2   1079.23   0.00684500    5   1.61710e+09   L2-0R(2)   3
39 2   2   0   1   2   1081.27   0.00473251    5   1.62790e+09   L2-0P(2)   4
40 2   2   0   4   3   1081.71   0.00631515    21   1.59640e+09   L2-0R(3)   5
41 2   2   0   2   3   1084.56   0.00503847    21   1.62540e+09   L2-0P(3)   6
42 2   2   0   5   4   1085.15   0.00604154    9   1.59270e+09   L2-0R(4)   7
43 2   2   0   3   4   1088.80   0.00511462    9   1.61710e+09   L2-0P(4)   8
44 2   2   0   6   5   1089.51   0.00567854    33   1.58490e+09   L2-0R(5)   9
45 2   2   0   4   5   1093.96   0.00513784    33   1.59640e+09   L2-0P(5)   10
46 2   2   0   7   6   1094.80   0.00539077   13   1.57640e+09   L2-0R(6)   11
47 2   2   0   5   6   1100.02   0.00521902   13   1.59270e+09   L2-0P(6)   12
48 2   2   0   8   7   1100.98   0.00514892   45   1.55690e+09   L2-0R(7)   13
49 2   2   0   6   7   1106.97   0.00525409   45   1.58490e+09   L2-0P(7)   14
50 2   2   0   9   8   1108.04   0.0049       17   1.6e+09       L2-0R(8)   15
51 2   2   0   7   8   1114.78   0.0052       17   1.6e+09       L2-0P(8)   16
52 2   3   0   1   0   1062.88   0.0177835   1   1.53430e+09   L3-0R(0)   0
53 2   3   0   2   1   1063.46   0.0118686   9   1.53250e+09   L3-0R(1)   1
54 2   3   0   0   1   1064.61   0.00566395   9   1.53660e+09   L3-0P(1)   2
55 2   3   0   3   2   1064.99   0.0107125   5   1.50880e+09   L3-0R(2)   3
56 2   3   0   1   2   1066.90   0.00706492   5   1.53430e+09   L3-0P(2)   4
57 2   3   0   4   3   1067.48   0.0101037   21   1.52140e+09   L3-0R(3)   5
58 2   3   0   2   3   1070.14   0.00748071   21   1.53250e+09   L3-0P(3)   6
59 2   3   0   5   4   1070.90   0.00966641   9   1.50470e+09   L3-0R(4)   7
60 2   3   0   3   4   1074.31   0.00780553   9   1.50880e+09   L3-0P(4)   8
61 2   3   0   6   5   1075.24   0.00921793   33   1.49640e+09   L3-0R(5)   9
62 2   3   0   4   5   1079.40   0.00786026   33   1.52140e+09   L3-0P(5)   10
63 2   3   0   7   6   1080.49   0.00888591   13   1.47490e+09   L3-0R(6)   11
64 2   3   0   5   6   1085.38   0.00792042   13   1.50470e+09   L3-0P(6)   12
65 2   3   0   8   7   1086.63   0.00862679   45   1.47590e+09   L3-0R(7)   13
66 2   3   0   6   7   1092.24   0.00790529   45   1.49640e+09   L3-0P(7)   14
